position,explanation
guest-1636381230.660919,guest around middle window
guest-1636382193.409617,guest table around black wall
guest-1636385040.689816,guest around bar
guest-1636385793.542457,guest table around window
guest-1636389973.804161,guest middle the carpet
kitchen-1636391808.493248,kitchen around the ovens
kitchen-1636392941.816702,kitchen on a bar table (middle)
kitchen-1636394018.697996,kitchen around fridge
kitchen-1637062146.971909,kitchen on a bar table (right)
kitchen-1637063199.413413,kitchen on a kitchen stove
laundry-1636395142.845797,laundry on washing machine
laundry-1636396515.363262,laundry around right wall
laundry-1636397595.691643,laundry cat lutbox
lobby-1636398557.066242,lobby on cabinet
lobby-1636399374.493363,lobby on a pouf
lobby-1636432665.500383,lobby around laundry door
lobby-1636433560.346345,lobby around bathroom door
bathroom-1636400347.580892,bathroom middle table
bathroom-1636401442.261931,bathroom shower area
bathroom-1636432147.233132,bathroom on a toilet
office-1636446083.476245,office on the table around the window
office-1636447760.940556,office on the sofa around the wall
office-1636449081.7131,office on the sofa around the window
office-1636450233.641034,office on the table closer to the door
bedroom-1636450960.314251,bedroom on the table around the mirror
bedroom-1636454036.645166,bedroom on a bed (artem)
bedroom-1636455301.521138,bedroom on a curbstone (anna)
bedroom-1636456912.828853,bedroom on a bed around legs
