scanner,rssi,when,position,room
office,-80,2021-11-18 07:41:25.376827,office-1637221275.029067,office
office,-84,2021-11-18 07:41:33.664466,office-1637221275.029067,office
office,-78,2021-11-18 07:41:52.924747,office-1637221275.029067,office
office,-77,2021-11-18 07:41:54.042168,office-1637221275.029067,office
office,-78,2021-11-18 07:41:57.351233,office-1637221275.029067,office
office,-80,2021-11-18 07:42:13.205572,office-1637221275.029067,office
office,-82,2021-11-18 07:42:28.653251,office-1637221275.029067,office
office,-78,2021-11-18 07:42:33.602969,office-1637221275.029067,office
office,-74,2021-11-18 07:42:34.711110,office-1637221275.029067,office
office,-72,2021-11-18 07:42:54.607248,office-1637221275.029067,office
office,-71,2021-11-18 07:43:05.013127,office-1637221275.029067,office
office,-70,2021-11-18 07:43:09.328024,office-1637221275.029067,office
office,-79,2021-11-18 07:43:22.559024,office-1637221275.029067,office
office,-79,2021-11-18 07:43:28.294569,office-1637221275.029067,office
office,-79,2021-11-18 07:43:31.946022,office-1637221275.029067,office
office,-86,2021-11-18 07:43:49.567457,office-1637221275.029067,office
office,-80,2021-11-18 07:43:55.598053,office-1637221275.029067,office
bathroom,-89,2021-11-18 07:42:02.748192,office-1637221275.029067,office
bathroom,-88,2021-11-18 07:42:03.283056,office-1637221275.029067,office
bathroom,-87,2021-11-18 07:42:07.149648,office-1637221275.029067,office
bathroom,-94,2021-11-18 07:42:41.905732,office-1637221275.029067,office
bathroom,-88,2021-11-18 07:43:00.103200,office-1637221275.029067,office
bathroom,-90,2021-11-18 07:43:02.171343,office-1637221275.029067,office
bathroom,-93,2021-11-18 07:43:12.072584,office-1637221275.029067,office
bathroom,-84,2021-11-18 07:43:58.366811,office-1637221275.029067,office
lobby,-97,2021-11-18 07:42:04.398071,office-1637221275.029067,office
lobby,-93,2021-11-18 07:42:08.276664,office-1637221275.029067,office
lobby,-92,2021-11-18 07:42:25.902208,office-1637221275.029067,office
lobby,-94,2021-11-18 07:42:28.496296,office-1637221275.029067,office
lobby,-91,2021-11-18 07:42:28.654165,office-1637221275.029067,office
